[5675:259:0804/121626.976885:WARNING:chrome_main_delegate.cc(594)] This is Chrome version 115.0.5790.114 (not a warning)
[5675:259:0804/121627.758803:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121627.855009:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121628.060993:INFO:chrome_browser_cloud_management_controller.cc(167)] Starting CBCM Controller Initialization
[5675:259:0804/121628.061056:INFO:chrome_browser_cloud_management_controller.cc(195)] No machine level policy manager exists.
[5675:259:0804/121628.067934:WARNING:chrome_command_line_pref_store.cc(121)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[5675:259:0804/121638.179144:INFO:CONSOLE(13)] "Failed to set the value "true" for the runtime feature flag "ENABLE_LIGHT_GET_ROOT_NODE_PATCH" because it is undefined. Available flags: "DUMMY_TEST_FLAG", "ENABLE_FORCE_NATIVE_SHADOW_MODE_FOR_TEST", "ENABLE_MIXED_SHADOW_MODE", "ENABLE_NATIVE_CUSTOM_ELEMENT_LIFECYCLE", "ENABLE_WIRE_SYNC_EMIT", "DISABLE_LIGHT_DOM_UNSCOPED_CSS", "ENABLE_FROZEN_TEMPLATE", "DISABLE_ARIA_REFLECTION_POLYFILL".", source: https://static.lightning.force.com/cs127/auraFW/javascript/MlRqRU5YT3pjWFRNenJranFOMWFjQXlMaWFpdmxPSTZWeEo0bWtiN0hsaXcyNDQuMjAuNC0yLjQxLjQ/aura_prod.js (13)
[5675:259:0804/121638.283867:INFO:CONSOLE(1)] "ComponentProfiler: Component-level profiling has not been enabled because "componentProfiler.instrumentation.ltng" gate is not open.", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/instrumentation/componentProfiler.js (1)
[5675:259:0804/121639.006064:INFO:CONSOLE(4)] "empApi setting initialized true for : undefined", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/force/empApi.js (4)
[5675:259:0804/121639.408948:INFO:CONSOLE(13)] "An iframe which has both allow-scripts and allow-same-origin for its sandbox attribute can escape its sandboxing.", source: https://static.lightning.force.com/cs127/auraFW/javascript/MlRqRU5YT3pjWFRNenJranFOMWFjQXlMaWFpdmxPSTZWeEo0bWtiN0hsaXcyNDQuMjAuNC0yLjQxLjQ/aura_prod.js (13)
[5675:259:0804/121639.716921:INFO:CONSOLE(1)] "<lightning-spinner> The alternativeText attribute should not be empty. Please add a description of what is causing the wait.", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/lightning/spinner.js (1)
[5675:259:0804/121640.889328:INFO:CONSOLE(13)] "An iframe which has both allow-scripts and allow-same-origin for its sandbox attribute can escape its sandboxing.", source: https://static.lightning.force.com/cs127/auraFW/javascript/MlRqRU5YT3pjWFRNenJranFOMWFjQXlMaWFpdmxPSTZWeEo0bWtiN0hsaXcyNDQuMjAuNC0yLjQxLjQ/aura_prod.js (13)
[5675:259:0804/121641.331779:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121641.442449:INFO:CONSOLE(1)] "[ORCHESTRATION] In-App Guidance is disabled. To enable In-App Guidance, visit the settings modal on the In-App Guidance Setup Page.", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/components/one/onboardingManagerLibPrivate.js (1)
[5675:259:0804/121658.727416:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121658.751575:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121700.476478:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
[5675:259:0804/121702.838809:INFO:CONSOLE(41)] "[object Object]", source: https://d8d000008efr1eac--yhtest.sandbox.lightning.force.com/libraries/instrumentation/beaconLib.BeaconLibrary.js (41)
